objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,210a.jpg,https://pinakes.irht.cnrs.fr/notices/cote/43229/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:103931,Ambrosiana & 14 sup.,Ambrosiana,16th,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",Sticherarion,,Milan,46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,210b.jpg,https://pinakes.irht.cnrs.fr/notices/cote/43240/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:104397,Ambrosiana & 145 sup.,Ambrosiana,16th,,"Philosophy, Plethon",,Milan,,,,,,,,,
coll003,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D98,https://pinakes.irht.cnrs.fr/notices/cote/42211/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:64132,Ambrosiana A 102 sup.,Ambrosiana,15th,,"Grammar, Manuel Chrysoloras|Manuel Moschopoulos",,Milan,,,,,,,,,
coll004,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D118,https://pinakes.irht.cnrs.fr/notices/cote/42225/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:64340,Ambrosiana A 119 sup.,Ambrosiana,14th,,"Literature, Ovid|Maximus Planudes",,Milan,,,,,,,,,
coll005,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D320,https://pinakes.irht.cnrs.fr/notices/cote/42232/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:25812,Ambrosiana A 147 inf.,Ambrosiana,5th|10th|11th|12th|13th,,Bible|Old Testament,,Milan,,,,,,,,,
coll006,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D124,https://pinakes.irht.cnrs.fr/notices/cote/42239/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:64821,Ambrosiana A 152 sup.,Ambrosiana,11th,,"Theology, John Climacus",,Milan,,,,,,,,,
coll007,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D131,https://pinakes.irht.cnrs.fr/notices/cote/42244/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:64927,Ambrosiana A 157 sup.,Ambrosiana,15th,,"XXX, Xenophon",,Milan,,,,,,,,,
coll008,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D133,https://pinakes.irht.cnrs.fr/notices/cote/42246/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:70190,Ambrosiana A 160 sup.,Ambrosiana,15th,,"Philosophy, Aristotle|Ammonius|Porphyry",,Milan,,,,,,,,,
coll009,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D146,https://pinakes.irht.cnrs.fr/notices/cote/42263/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:65060,Ambrosiana A 175 sup.,Ambrosiana,14th,,"Rhetoric, Aristides",,Milan,,,,,,,,,
coll010,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D154,https://pinakes.irht.cnrs.fr/notices/cote/42270/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:65149,Ambrosiana A 181 sup.,Ambrosiana,10th|14th,,"Theology, Homer|John Chrysostom",,Milan,,,,,,,,,
coll011,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D155,https://pinakes.irht.cnrs.fr/notices/cote/42272/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:65159,Ambrosiana A 183 sup.,Ambrosiana,14th,,"Anthologion, Stobaeus",,Milan,,,,,,,,,
coll012,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D68,https://pinakes.irht.cnrs.fr/notices/cote/42172/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:63543,Ambrosiana A 45 sup.,Ambrosiana,13th,,Astronomy|Medicine,,Milan,,,,,,,,,
coll013,https://hdl.handle.net/2027/hvd.32044094029386?urlappend=%3Bseq%3D312,https://pinakes.irht.cnrs.fr/notices/cote/42194/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:25351,Ambrosiana A 78 inf.,Ambrosiana,14th,,Xenophon,,Milan,,,,,,,,,
coll014,https://hdl.handle.net/2027/hvd.32044080269715?urlappend=%3Bseq%3D88,https://pinakes.irht.cnrs.fr/notices/cote/42204/,https://ambrosiana.comperio.it/opac/detail/view/ambro:catalog:63902,Ambrosiana A 91 sup.,,15th,,Mathematics|Pneumatica,Maximus Planudes|Diophantus|Hero of Alexandria,Milan,,,,,,,,,
